** CONVERTED FROM C:\Users\hanzh\Desktop\Pupillometry Demo\data\_Forced_Response_scene_contrast_2022_Jul_26_1425.EDF using edfapi 4.2.1 Win32  EyeLink Dataviewer Sub ComponentApr 12 2021 on Tue Jul 26 14:36:36 2022
** DATE: Tue Jul 26 14:22:21 2022
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.594 Jul  6 2012
** CAMERA: EyeLink CL Version 1.4 Sensor=BHF
** SERIAL NUMBER: CL1-76M08
** CAMERA_CONFIG: 76M08140.SCD
**

MSG	524982 NO Reply is disabled for function eyelink_cal_result
MSG	525033 RECCFG CR 500 2 0 R
MSG	525033 ELCLCFG MTABLE
MSG	525033 GAZE_COORDS 0.00 0.00 1600.00 1200.00
MSG	525033 THRESHOLDS R 54 195
MSG	525033 ELCL_PROC ELLIPSE  (5)
MSG	525033 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	525034 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
MSG	525034 !MODE RECORD CR 500 2 0 R
MSG	525551 free fixation start Block_0 Trial_0
525552	  774.6	  628.7	 7175.0	...
525554	  774.5	  628.9	 7173.0	...
525556	  774.4	  628.5	 7172.0	...
525558	  774.3	  628.2	 7172.0	...
525560	  774.1	  628.0	 7171.0	...
525562	  774.0	  628.0	 7164.0	...
525564	  774.0	  627.5	 7156.0	...
525566	  773.9	  627.1	 7150.0	...
525568	  773.8	  626.2	 7148.0	...
525570	  773.6	  625.8	 7144.0	...
525572	  773.6	  625.6	 7140.0	...
525574	  773.5	  625.8	 7137.0	...
525576	  773.0	  626.4	 7137.0	...
525578	  772.5	  626.9	 7138.0	...
525580	  772.0	  627.3	 7139.0	...
525582	  772.1	  627.3	 7137.0	...
525584	  772.1	  627.0	 7132.0	...
525586	  772.1	  626.6	 7128.0	...
525588	  771.7	  626.2	 7129.0	...
525590	  771.3	  626.2	 7130.0	...
525592	  771.1	  626.4	 7132.0	...
525594	  771.1	  626.6	 7131.0	...
525596	  771.0	  626.8	 7130.0	...
525598	  770.9	  626.8	 7128.0	...
525600	  770.7	  627.2	 7127.0	...
525602	  770.6	  627.5	 7121.0	...
525604	  770.6	  627.9	 7116.0	...
525606	  770.4	  627.9	 7110.0	...
525608	  770.4	  628.0	 7111.0	...
525610	  770.3	  628.2	 7112.0	...
525612	  770.2	  628.3	 7114.0	...
525614	  769.9	  628.5	 7115.0	...
525616	  769.7	  628.7	 7115.0	...
525618	  769.5	  628.9	 7114.0	...
525620	  769.2	  629.4	 7114.0	...
525622	  769.0	  629.7	 7113.0	...
525624	  768.9	  630.2	 7112.0	...
525626	  769.0	  630.3	 7108.0	...
525628	  768.9	  630.4	 7103.0	...
525630	  768.6	  630.2	 7105.0	...
525632	  768.3	  630.0	 7112.0	...
525634	  768.2	  630.0	 7118.0	...
525636	  768.0	  630.2	 7118.0	...
525638	  768.0	  630.3	 7117.0	...
525640	  767.8	  630.4	 7118.0	...
525642	  767.6	  630.7	 7118.0	...
525644	  767.4	  630.5	 7119.0	...
525646	  767.2	  630.4	 7120.0	...
525648	  766.9	  629.8	 7120.0	...
525650	  766.6	  629.7	 7120.0	...
525652	  766.3	  630.0	 7119.0	...
525654	  766.2	  630.3	 7111.0	...
525656	  766.2	  630.5	 7102.0	...
525658	  766.2	  630.7	 7094.0	...
525660	  765.9	  631.6	 7094.0	...
525662	  765.6	  632.4	 7095.0	...
525664	  765.1	  632.6	 7096.0	...
525666	  764.8	  632.4	 7097.0	...
525668	  764.6	  632.6	 7101.0	...
525670	  764.3	  632.8	 7105.0	...
525672	  764.1	  633.1	 7107.0	...
525674	  764.5	  633.1	 7105.0	...
525676	  764.9	  632.9	 7102.0	...
525678	  765.0	  632.5	 7101.0	...
525680	  764.6	  632.3	 7100.0	...
525682	  764.5	  632.7	 7098.0	...
525684	  764.8	  633.3	 7097.0	...
525686	  765.0	  632.9	 7097.0	...
525688	  765.1	  632.1	 7100.0	...
525690	  765.1	  631.9	 7104.0	...
525692	  765.1	  632.4	 7108.0	...
525694	  764.9	  632.9	 7109.0	...
525696	  764.8	  633.0	 7108.0	...
525698	  764.6	  633.0	 7107.0	...
525700	  764.6	  631.7	 7102.0	...
525702	  764.5	  630.4	 7099.0	...
525704	  764.4	  629.5	 7095.0	...
525706	  764.5	  630.2	 7095.0	...
525708	  764.5	  630.8	 7095.0	...
525710	  764.5	  630.7	 7096.0	...
525712	  764.4	  630.2	 7097.0	...
525714	  764.4	  630.8	 7098.0	...
525716	  764.6	  631.9	 7099.0	...
525718	  764.6	  632.9	 7100.0	...
525720	  764.6	  632.8	 7103.0	...
525722	  764.5	  632.4	 7109.0	...
525724	  764.5	  631.5	 7115.0	...
525726	  764.4	  630.3	 7113.0	...
525728	  764.2	  629.2	 7106.0	...
525730	  764.1	  628.5	 7106.0	...
525732	  764.2	  628.5	 7112.0	...
525734	  764.5	  628.6	 7118.0	...
525736	  764.8	  628.5	 7121.0	...
525738	  765.0	  628.4	 7124.0	...
525740	  764.8	  628.2	 7126.0	...
525742	  764.5	  628.7	 7126.0	...
525744	  764.1	  629.3	 7126.0	...
525746	  764.0	  629.7	 7126.0	...
525748	  764.1	  629.3	 7126.0	...
525750	  764.6	  628.2	 7125.0	...
525752	  765.4	  627.2	 7124.0	...
525754	  766.0	  626.5	 7124.0	...
525756	  766.2	  626.6	 7125.0	...
525758	  766.1	  627.5	 7126.0	...
525760	  766.0	  628.3	 7127.0	...
525762	  766.0	  629.0	 7129.0	...
525764	  766.2	  628.8	 7136.0	...
525766	  766.3	  629.1	 7141.0	...
525768	  766.1	  629.6	 7149.0	...
525770	  765.7	  629.3	 7151.0	...
525772	  765.2	  628.6	 7153.0	...
525774	  765.1	  628.0	 7153.0	...
525776	  765.2	  628.0	 7152.0	...
525778	  765.3	  627.9	 7152.0	...
525780	  765.7	  627.8	 7153.0	...
525782	  765.8	  627.1	 7157.0	...
525784	  765.8	  626.5	 7160.0	...
525786	  765.7	  626.4	 7163.0	...
525788	  765.5	  626.2	 7167.0	...
525790	  765.6	  626.0	 7172.0	...
525792	  765.8	  625.3	 7174.0	...
525794	  766.2	  623.5	 7173.0	...
525796	  767.0	  620.6	 7179.0	...
525798	  767.9	  616.5	 7187.0	...
525800	  769.5	  614.1	 7192.0	...
525802	  770.7	  612.8	 7189.0	...
525804	  771.6	  612.0	 7187.0	...
525806	  771.7	  610.6	 7190.0	...
525808	  771.9	  609.1	 7193.0	...
525810	  772.0	  608.0	 7197.0	...
525812	  772.2	  607.8	 7198.0	...
525814	  772.2	  607.8	 7203.0	...
525816	  771.4	  607.0	 7207.0	...
525818	  770.7	  606.0	 7211.0	...
525820	  769.8	  605.1	 7210.0	...
525822	  769.8	  605.3	 7218.0	...
525824	  769.9	  604.8	 7226.0	...
525826	  770.2	  604.2	 7236.0	...
525828	  770.2	  603.1	 7236.0	...
525830	  770.4	  602.7	 7237.0	...
525832	  770.5	  602.5	 7237.0	...
525834	  770.6	  602.6	 7237.0	...
525836	  770.6	  602.6	 7244.0	...
525838	  770.5	  602.5	 7250.0	...
525840	  770.5	  602.5	 7255.0	...
525842	  770.7	  602.6	 7254.0	...
525844	  771.0	  602.3	 7253.0	...
525846	  771.4	  602.1	 7258.0	...
525848	  770.9	  602.0	 7264.0	...
525850	  770.2	  602.2	 7271.0	...
525852	  769.7	  602.1	 7274.0	...
525854	  769.9	  601.9	 7278.0	...
525856	  770.0	  601.6	 7282.0	...
525858	  769.6	  601.7	 7291.0	...
525860	  769.2	  601.7	 7298.0	...
525862	  769.3	  601.7	 7304.0	...
525864	  769.5	  601.7	 7304.0	...
525866	  769.7	  601.5	 7307.0	...
525868	  769.6	  601.3	 7311.0	...
525870	  769.6	  600.6	 7317.0	...
525872	  769.5	  600.0	 7319.0	...
525874	  769.5	  600.7	 7321.0	...
525876	  769.6	  601.9	 7321.0	...
525878	  769.8	  603.0	 7324.0	...
525880	  769.9	  602.7	 7328.0	...
525882	  769.9	  602.4	 7332.0	...
525884	  770.0	  602.3	 7333.0	...
525886	  770.1	  602.6	 7333.0	...
525888	  770.1	  603.2	 7332.0	...
525890	  770.2	  603.6	 7332.0	...
525892	  770.2	  604.1	 7337.0	...
525894	  770.1	  604.1	 7354.0	...
525896	  769.9	  603.7	 7369.0	...
525898	  769.8	  603.2	 7381.0	...
525900	  769.8	  602.7	 7380.0	...
525902	  769.9	  602.8	 7378.0	...
525904	  770.0	  602.9	 7376.0	...
525906	  770.1	  602.5	 7374.0	...
525908	  770.2	  602.1	 7374.0	...
525910	  770.2	  601.7	 7373.0	...
525912	  770.3	  601.6	 7375.0	...
525914	  770.4	  602.7	 7381.0	...
525916	  770.5	  603.8	 7386.0	...
525918	  770.6	  604.8	 7390.0	...
525920	  770.2	  604.5	 7390.0	...
525922	  769.8	  604.1	 7390.0	...
525924	  769.3	  603.9	 7391.0	...
525926	  769.4	  603.8	 7392.0	...
525928	  769.6	  604.0	 7397.0	...
525930	  769.7	  604.4	 7401.0	...
525932	  769.6	  604.7	 7405.0	...
525934	  769.5	  605.0	 7406.0	...
525936	  769.3	  605.8	 7412.0	...
525938	  769.5	  606.7	 7417.0	...
525940	  769.7	  607.9	 7422.0	...
525942	  770.0	  608.4	 7422.0	...
525944	  770.2	  609.3	 7428.0	...
525946	  770.6	  609.9	 7439.0	...
525948	  770.8	  608.6	 7463.0	...
EFIX R   525038	525948	912	  773.7	  622.0	   7494
SSACC R  525950
525950	  769.8	  604.8	 7489.0	...
525952	  767.4	  600.8	 7510.0	...
525954	  764.8	  598.4	 7497.0	...
525956	  762.4	  602.4	 7436.0	...
525958	  760.3	  635.3	 7238.0	...
525960	  756.3	  699.6	 6949.0	...
525962	  754.1	  787.3	 6570.0	...
525964	  763.2	  897.9	 5922.0	...
525966	 1522.6	 1031.5	 4373.0	...
525968	 2265.4	 1057.4	 2954.0	...
525970	 2982.5	  951.4	 1939.0	...
